Episode,Agent 8
4773.0,599.0
4774.0,566.0
4775.0,447.0
4776.0,128.0
4777.0,444.0
4778.0,546.0
4779.0,346.0
4780.0,805.0
4781.0,936.0
4782.0,672.0
4783.0,522.0
4784.0,702.0
4785.0,500.0
4786.0,241.0
4787.0,572.0
4788.0,523.0
4789.0,744.0
4790.0,608.0
4791.0,999.0
4792.0,631.0
4793.0,921.0
4794.0,184.0
4795.0,739.0
4796.0,626.0
4797.0,999.0
4798.0,649.0
4799.0,443.0
4800.0,774.0
4801.0,999.0
4802.0,743.0
4803.0,695.0
4804.0,999.0
4805.0,607.0
4806.0,227.0
4807.0,890.0
4808.0,999.0
4809.0,361.0
4810.0,774.0
4811.0,999.0
4812.0,435.0
4813.0,386.0
4814.0,999.0
4815.0,999.0
4816.0,999.0
4817.0,999.0
4818.0,999.0
4819.0,999.0
4820.0,431.0
4821.0,999.0
4822.0,361.0
4823.0,999.0
4824.0,568.0
4825.0,999.0
4826.0,195.0
4827.0,712.0
4828.0,445.0
4829.0,784.0
4830.0,512.0
4831.0,246.0
4832.0,999.0
4833.0,999.0
4834.0,677.0
4835.0,999.0
4836.0,692.0
4837.0,999.0
4838.0,999.0
4839.0,999.0
4840.0,374.0
4841.0,810.0
4842.0,999.0
4843.0,999.0
4844.0,999.0
4845.0,298.0
4846.0,759.0
4847.0,732.0
4848.0,999.0
4849.0,732.0
4850.0,781.0
4851.0,999.0
4852.0,999.0
4853.0,965.0
4854.0,999.0
4855.0,485.0
4856.0,999.0
4857.0,999.0
4858.0,869.0
4859.0,192.0
4860.0,999.0
4861.0,714.0
4862.0,367.0
4863.0,697.0
4864.0,760.0
4865.0,999.0
4866.0,685.0
4867.0,808.0
4868.0,799.0
4869.0,846.0
4870.0,999.0
4871.0,665.0
4872.0,246.0
4873.0,999.0
4874.0,912.0
4875.0,231.0
4876.0,675.0
4877.0,544.0
4878.0,149.0
4879.0,999.0
4880.0,721.0
4881.0,409.0
4882.0,999.0
4883.0,999.0
4884.0,529.0
4885.0,999.0
4886.0,698.0
4887.0,882.0
4888.0,840.0
4889.0,301.0
4890.0,999.0
4891.0,566.0
4892.0,765.0
4893.0,999.0
4894.0,793.0
4895.0,698.0
4896.0,205.0
4897.0,999.0
4898.0,243.0
4899.0,999.0
4900.0,771.0
4901.0,548.0
4902.0,336.0
4903.0,714.0
4904.0,797.0
4905.0,615.0
4906.0,999.0
4907.0,793.0
4908.0,647.0
4909.0,692.0
4910.0,382.0
4911.0,549.0
4912.0,999.0
4913.0,922.0
4914.0,180.0
4915.0,343.0
4916.0,447.0
4917.0,452.0
4918.0,523.0
4919.0,759.0
4920.0,234.0
4921.0,364.0
4922.0,758.0
4923.0,194.0
4924.0,999.0
4925.0,308.0
4926.0,425.0
4927.0,733.0
4928.0,999.0
4929.0,999.0
4930.0,524.0
4931.0,305.0
4932.0,999.0
4933.0,420.0
4934.0,877.0
4935.0,520.0
4936.0,769.0
4937.0,950.0
4938.0,379.0
4939.0,689.0
4940.0,666.0
4941.0,999.0
4942.0,499.0
4943.0,494.0
4944.0,589.0
4945.0,285.0
4946.0,999.0
4947.0,455.0
4948.0,724.0
4949.0,421.0
4950.0,999.0
4951.0,363.0
4952.0,585.0
4953.0,891.0
4954.0,379.0
4955.0,468.0
4956.0,701.0
4957.0,999.0
4958.0,906.0
4959.0,400.0
4960.0,628.0
4961.0,999.0
4962.0,205.0
4963.0,999.0
4964.0,999.0
4965.0,435.0
4966.0,369.0
4967.0,999.0
4968.0,999.0
4969.0,859.0
4970.0,999.0
4971.0,999.0
4972.0,402.0
4973.0,999.0
4974.0,999.0
4975.0,778.0
4976.0,247.0
4977.0,967.0
4978.0,463.0
4979.0,485.0
4980.0,999.0
4981.0,927.0
4982.0,686.0
4983.0,235.0
4984.0,574.0
4985.0,677.0
4986.0,345.0
4987.0,736.0
4988.0,999.0
4989.0,328.0
4990.0,999.0
4991.0,543.0
4992.0,580.0
4993.0,518.0
4994.0,619.0
4995.0,420.0
4996.0,828.0
4997.0,328.0
4998.0,378.0
4999.0,655.0
5000.0,296.0
5001.0,343.0
5002.0,430.0
5003.0,364.0
5004.0,672.0
5005.0,360.0
5006.0,816.0
5007.0,999.0
5008.0,999.0
5009.0,536.0
5010.0,999.0
5011.0,777.0
5012.0,583.0
5013.0,868.0
5014.0,641.0
5015.0,655.0
5016.0,999.0
5017.0,341.0
5018.0,793.0
5019.0,393.0
5020.0,234.0
5021.0,999.0
5022.0,999.0
5023.0,999.0
5024.0,999.0
5025.0,258.0
5026.0,999.0
5027.0,999.0
5028.0,999.0
5029.0,999.0
5030.0,719.0
5031.0,709.0
5032.0,470.0
5033.0,500.0
5034.0,224.0
5035.0,999.0
5036.0,999.0
5037.0,710.0
5038.0,999.0
5039.0,999.0
5040.0,511.0
5041.0,999.0
5042.0,999.0
5043.0,999.0
5044.0,999.0
5045.0,999.0
5046.0,197.0
5047.0,999.0
5048.0,999.0
5049.0,999.0
5050.0,999.0
5051.0,855.0
5052.0,231.0
5053.0,999.0
5054.0,999.0
5055.0,999.0
5056.0,999.0
5057.0,999.0
5058.0,517.0
5059.0,999.0
5060.0,999.0
5061.0,999.0
5062.0,357.0
5063.0,999.0
5064.0,999.0
5065.0,505.0
5066.0,999.0
5067.0,346.0
5068.0,911.0
5069.0,999.0
5070.0,999.0
5071.0,999.0
5072.0,681.0
5073.0,999.0
5074.0,999.0
5075.0,724.0
5076.0,999.0
5077.0,580.0
5078.0,826.0
5079.0,999.0
5080.0,446.0
5081.0,999.0
5082.0,999.0
5083.0,999.0
5084.0,999.0
5085.0,999.0
5086.0,999.0
5087.0,926.0
5088.0,999.0
5089.0,597.0
5090.0,410.0
5091.0,999.0
5092.0,999.0
5093.0,999.0
5094.0,999.0
5095.0,988.0
5096.0,355.0
5097.0,999.0
5098.0,999.0
5099.0,999.0
5100.0,999.0
5101.0,999.0
5102.0,377.0
5103.0,999.0
5104.0,999.0
5105.0,999.0
5106.0,999.0
5107.0,999.0
5108.0,999.0
5109.0,581.0
5110.0,692.0
5111.0,757.0
5112.0,635.0
5113.0,999.0
5114.0,547.0
5115.0,707.0
5116.0,787.0
5117.0,237.0
5118.0,356.0
5119.0,935.0
5120.0,470.0
5121.0,999.0
5122.0,999.0
5123.0,517.0
5124.0,332.0
5125.0,440.0
5126.0,791.0
5127.0,383.0
5128.0,699.0
5129.0,760.0
5130.0,194.0
5131.0,999.0
5132.0,587.0
5133.0,911.0
5134.0,547.0
5135.0,497.0
5136.0,941.0
5137.0,999.0
5138.0,697.0
5139.0,564.0
5140.0,632.0
5141.0,999.0
5142.0,999.0
5143.0,999.0
5144.0,999.0
5145.0,954.0
5146.0,564.0
5147.0,999.0
5148.0,999.0
5149.0,999.0
5150.0,488.0
5151.0,999.0
5152.0,774.0
5153.0,668.0
5154.0,720.0
5155.0,999.0
5156.0,742.0
5157.0,999.0
5158.0,296.0
5159.0,150.0
5160.0,594.0
5161.0,637.0
5162.0,999.0
5163.0,578.0
5164.0,486.0
5165.0,999.0
5166.0,311.0
5167.0,747.0
5168.0,999.0
5169.0,337.0
5170.0,250.0
5171.0,973.0
5172.0,999.0
5173.0,777.0
5174.0,678.0
5175.0,192.0
5176.0,460.0
5177.0,813.0
5178.0,999.0
5179.0,728.0
5180.0,999.0
5181.0,652.0
5182.0,247.0
5183.0,999.0
5184.0,753.0
5185.0,999.0
5186.0,999.0
5187.0,552.0
5188.0,658.0
5189.0,527.0
5190.0,617.0
5191.0,999.0
5192.0,999.0
5193.0,397.0
5194.0,901.0
5195.0,999.0
5196.0,999.0
5197.0,999.0
5198.0,999.0
5199.0,999.0
5200.0,365.0
5201.0,999.0
5202.0,999.0
5203.0,999.0
5204.0,999.0
5205.0,602.0
5206.0,999.0
5207.0,604.0
5208.0,999.0
5209.0,999.0
5210.0,999.0
5211.0,999.0
5212.0,999.0
5213.0,999.0
5214.0,999.0
5215.0,293.0
5216.0,999.0
5217.0,733.0
5218.0,999.0
5219.0,182.0
5220.0,999.0
5221.0,999.0
5222.0,999.0
5223.0,999.0
5224.0,999.0
5225.0,999.0
5226.0,999.0
5227.0,999.0
5228.0,999.0
5229.0,999.0
5230.0,999.0
5231.0,999.0
5232.0,958.0
5233.0,999.0
5234.0,999.0
5235.0,999.0
5236.0,999.0
5237.0,759.0
5238.0,819.0
5239.0,999.0
5240.0,999.0
5241.0,999.0
5242.0,999.0
5243.0,999.0
5244.0,999.0
5245.0,342.0
5246.0,999.0
5247.0,532.0
5248.0,999.0
5249.0,999.0
5250.0,795.0
5251.0,418.0
5252.0,999.0
5253.0,682.0
5254.0,999.0
5255.0,999.0
5256.0,456.0
5257.0,970.0
5258.0,999.0
5259.0,999.0
5260.0,911.0
5261.0,272.0
5262.0,999.0
5263.0,999.0
5264.0,999.0
5265.0,945.0
5266.0,999.0
5267.0,999.0
5268.0,999.0
5269.0,999.0
5270.0,489.0
5271.0,999.0
5272.0,962.0
5273.0,999.0
5274.0,601.0
5275.0,999.0
5276.0,999.0
5277.0,322.0
5278.0,962.0
5279.0,999.0
5280.0,646.0
5281.0,999.0
5282.0,999.0
5283.0,999.0
5284.0,999.0
5285.0,999.0
5286.0,999.0
5287.0,999.0
5288.0,530.0
5289.0,118.0
5290.0,316.0
5291.0,999.0
5292.0,999.0
5293.0,999.0
5294.0,999.0
5295.0,999.0
5296.0,999.0
5297.0,436.0
5298.0,648.0
5299.0,921.0
5300.0,758.0
5301.0,999.0
5302.0,999.0
5303.0,903.0
5304.0,731.0
5305.0,999.0
5306.0,999.0
5307.0,999.0
5308.0,999.0
5309.0,125.0
5310.0,871.0
5311.0,999.0
5312.0,202.0
5313.0,999.0
5314.0,999.0
5315.0,987.0
5316.0,999.0
5317.0,999.0
5318.0,999.0
5319.0,999.0
5320.0,902.0
5321.0,999.0
5322.0,999.0
5323.0,863.0
5324.0,751.0
5325.0,866.0
5326.0,999.0
5327.0,417.0
5328.0,549.0
5329.0,317.0
5330.0,461.0
5331.0,619.0
5332.0,999.0
5333.0,654.0
5334.0,999.0
5335.0,343.0
5336.0,999.0
5337.0,999.0
5338.0,999.0
5339.0,999.0
5340.0,999.0
5341.0,539.0
5342.0,999.0
5343.0,999.0
5344.0,390.0
5345.0,999.0
5346.0,999.0
5347.0,999.0
5348.0,999.0
5349.0,999.0
5350.0,999.0
5351.0,163.0
5352.0,997.0
5353.0,999.0
5354.0,999.0
5355.0,999.0
5356.0,999.0
5357.0,999.0
5358.0,999.0
5359.0,283.0
5360.0,999.0
5361.0,999.0
5362.0,585.0
5363.0,999.0
5364.0,999.0
5365.0,999.0
5366.0,999.0
5367.0,999.0
5368.0,999.0
5369.0,999.0
5370.0,999.0
5371.0,999.0
5372.0,999.0
5373.0,999.0
5374.0,999.0
5375.0,999.0
5376.0,999.0
5377.0,999.0
5378.0,999.0
5379.0,999.0
5380.0,999.0
5381.0,999.0
5382.0,431.0
5383.0,999.0
5384.0,801.0
5385.0,999.0
5386.0,999.0
5387.0,999.0
5388.0,576.0
5389.0,508.0
5390.0,999.0
5391.0,805.0
5392.0,268.0
5393.0,999.0
5394.0,999.0
5395.0,760.0
5396.0,999.0
5397.0,969.0
5398.0,999.0
5399.0,999.0
5400.0,462.0
5401.0,292.0
5402.0,999.0
5403.0,999.0
5404.0,999.0
5405.0,999.0
5406.0,225.0
5407.0,999.0
5408.0,283.0
5409.0,999.0
5410.0,999.0
5411.0,999.0
5412.0,999.0
5413.0,999.0
5414.0,999.0
5415.0,449.0
5416.0,999.0
5417.0,999.0
5418.0,649.0
5419.0,854.0
5420.0,999.0
5421.0,999.0
5422.0,999.0
5423.0,999.0
5424.0,999.0
5425.0,787.0
5426.0,882.0
5427.0,999.0
5428.0,999.0
5429.0,999.0
5430.0,999.0
5431.0,763.0
5432.0,999.0
5433.0,999.0
5434.0,999.0
5435.0,999.0
5436.0,999.0
5437.0,999.0
5438.0,999.0
5439.0,999.0
5440.0,999.0
5441.0,999.0
5442.0,999.0
5443.0,999.0
5444.0,999.0
5445.0,999.0
5446.0,999.0
5447.0,999.0
5448.0,878.0
5449.0,999.0
5450.0,999.0
5451.0,999.0
5452.0,999.0
5453.0,306.0
5454.0,999.0
5455.0,999.0
5456.0,999.0
5457.0,908.0
5458.0,999.0
5459.0,664.0
5460.0,999.0
5461.0,999.0
5462.0,999.0
5463.0,987.0
5464.0,999.0
5465.0,999.0
5466.0,999.0
5467.0,999.0
5468.0,999.0
5469.0,999.0
5470.0,999.0
5471.0,999.0
5472.0,999.0
5473.0,999.0
5474.0,999.0
5475.0,999.0
5476.0,220.0
5477.0,999.0
5478.0,999.0
5479.0,999.0
5480.0,999.0
5481.0,968.0
5482.0,999.0
5483.0,999.0
5484.0,999.0
5485.0,459.0
5486.0,999.0
5487.0,999.0
5488.0,999.0
5489.0,999.0
5490.0,999.0
5491.0,999.0
5492.0,999.0
5493.0,999.0
5494.0,999.0
5495.0,999.0
5496.0,999.0
5497.0,999.0
5498.0,589.0
5499.0,999.0
5500.0,999.0
5501.0,999.0
5502.0,519.0
5503.0,999.0
5504.0,999.0
5505.0,999.0
5506.0,590.0
5507.0,921.0
5508.0,999.0
5509.0,708.0
5510.0,999.0
5511.0,999.0
5512.0,999.0
5513.0,999.0
5514.0,911.0
5515.0,999.0
5516.0,999.0
5517.0,999.0
5518.0,999.0
5519.0,999.0
5520.0,999.0
5521.0,500.0
5522.0,999.0
5523.0,999.0
5524.0,999.0
5525.0,999.0
5526.0,999.0
5527.0,999.0
5528.0,999.0
5529.0,991.0
5530.0,420.0
5531.0,460.0
5532.0,999.0
5533.0,920.0
5534.0,482.0
5535.0,999.0
5536.0,999.0
5537.0,588.0
5538.0,999.0
5539.0,999.0
5540.0,771.0
5541.0,386.0
5542.0,999.0
5543.0,999.0
5544.0,585.0
5545.0,310.0
5546.0,999.0
5547.0,338.0
5548.0,427.0
5549.0,521.0
5550.0,709.0
5551.0,700.0
5552.0,412.0
5553.0,655.0
5554.0,812.0
5555.0,548.0
5556.0,189.0
5557.0,572.0
5558.0,273.0
5559.0,772.0
5560.0,198.0
5561.0,244.0
5562.0,829.0
5563.0,999.0
5564.0,999.0
5565.0,298.0
5566.0,244.0
5567.0,930.0
5568.0,744.0
5569.0,999.0
5570.0,685.0
5571.0,567.0
5572.0,999.0
5573.0,527.0
5574.0,999.0
5575.0,646.0
5576.0,999.0
5577.0,999.0
5578.0,999.0
5579.0,999.0
5580.0,999.0
5581.0,999.0
5582.0,999.0
5583.0,999.0
5584.0,999.0
5585.0,985.0
5586.0,999.0
5587.0,999.0
5588.0,999.0
5589.0,484.0
5590.0,999.0
5591.0,999.0
5592.0,999.0
5593.0,999.0
5594.0,999.0
5595.0,999.0
5596.0,999.0
5597.0,359.0
5598.0,999.0
5599.0,999.0
5600.0,999.0
5601.0,251.0
5602.0,999.0
5603.0,918.0
5604.0,999.0
5605.0,999.0
5606.0,999.0
5607.0,999.0
5608.0,518.0
5609.0,999.0
5610.0,651.0
5611.0,999.0
5612.0,999.0
5613.0,846.0
5614.0,935.0
5615.0,442.0
5616.0,550.0
5617.0,999.0
5618.0,496.0
5619.0,999.0
5620.0,371.0
5621.0,999.0
5622.0,701.0
5623.0,999.0
5624.0,999.0
5625.0,999.0
5626.0,591.0
5627.0,647.0
5628.0,999.0
5629.0,557.0
5630.0,658.0
5631.0,551.0
5632.0,540.0
5633.0,999.0
5634.0,999.0
5635.0,404.0
5636.0,977.0
5637.0,636.0
5638.0,882.0
5639.0,999.0
5640.0,999.0
5641.0,999.0
5642.0,605.0
5643.0,226.0
5644.0,999.0
5645.0,673.0
5646.0,490.0
5647.0,299.0
5648.0,498.0
5649.0,999.0
5650.0,999.0
5651.0,999.0
5652.0,999.0
5653.0,942.0
5654.0,999.0
5655.0,780.0
5656.0,270.0
5657.0,999.0
5658.0,999.0
5659.0,999.0
5660.0,999.0
5661.0,999.0
5662.0,999.0
5663.0,999.0
5664.0,599.0
5665.0,999.0
5666.0,524.0
5667.0,999.0
5668.0,999.0
5669.0,999.0
5670.0,999.0
5671.0,999.0
5672.0,840.0
5673.0,999.0
5674.0,999.0
5675.0,999.0
5676.0,280.0
5677.0,999.0
5678.0,190.0
5679.0,999.0
5680.0,744.0
5681.0,999.0
5682.0,999.0
5683.0,999.0
5684.0,999.0
5685.0,999.0
5686.0,999.0
5687.0,999.0
5688.0,999.0
5689.0,803.0
5690.0,999.0
5691.0,999.0
5692.0,999.0
5693.0,602.0
5694.0,999.0
5695.0,999.0
5696.0,999.0
5697.0,587.0
5698.0,999.0
5699.0,999.0
5700.0,729.0
5701.0,528.0
5702.0,403.0
5703.0,999.0
5704.0,837.0
5705.0,999.0
5706.0,999.0
5707.0,999.0
5708.0,999.0
5709.0,999.0
5710.0,513.0
5711.0,999.0
5712.0,999.0
5713.0,999.0
5714.0,575.0
5715.0,999.0
5716.0,784.0
5717.0,999.0
5718.0,548.0
5719.0,743.0
5720.0,498.0
5721.0,411.0
5722.0,406.0
5723.0,265.0
5724.0,999.0
5725.0,999.0
5726.0,405.0
5727.0,999.0
5728.0,999.0
5729.0,972.0
5730.0,678.0
5731.0,999.0
5732.0,999.0
5733.0,814.0
5734.0,999.0
5735.0,952.0
5736.0,999.0
5737.0,343.0
5738.0,999.0
5739.0,832.0
5740.0,999.0
5741.0,999.0
5742.0,999.0
5743.0,315.0
5744.0,906.0
5745.0,999.0
5746.0,999.0
5747.0,999.0
5748.0,477.0
5749.0,551.0
5750.0,999.0
5751.0,558.0
5752.0,999.0
5753.0,466.0
5754.0,210.0
5755.0,999.0
5756.0,999.0
5757.0,999.0
5758.0,935.0
5759.0,999.0
5760.0,999.0
5761.0,999.0
5762.0,999.0
5763.0,999.0
5764.0,999.0
5765.0,999.0
5766.0,962.0
5767.0,999.0
5768.0,999.0
5769.0,999.0
5770.0,999.0
5771.0,999.0
5772.0,999.0
5773.0,999.0
5774.0,646.0
5775.0,999.0
5776.0,999.0
5777.0,999.0
5778.0,999.0
5779.0,999.0
5780.0,605.0
5781.0,999.0
5782.0,999.0
5783.0,696.0
5784.0,375.0
5785.0,999.0
5786.0,999.0
5787.0,999.0
5788.0,581.0
5789.0,999.0
5790.0,999.0
5791.0,999.0
5792.0,999.0
5793.0,999.0
5794.0,999.0
5795.0,822.0
5796.0,999.0
5797.0,999.0
5798.0,999.0
5799.0,999.0
5800.0,999.0
5801.0,999.0
5802.0,999.0
5803.0,999.0
5804.0,999.0
5805.0,999.0
5806.0,453.0
5807.0,999.0
5808.0,999.0
5809.0,999.0
5810.0,681.0
5811.0,999.0
5812.0,436.0
5813.0,356.0
5814.0,419.0
5815.0,838.0
5816.0,999.0
5817.0,999.0
5818.0,999.0
5819.0,999.0
5820.0,999.0
5821.0,853.0
5822.0,999.0
5823.0,856.0
5824.0,999.0
5825.0,999.0
5826.0,999.0
5827.0,673.0
5828.0,522.0
5829.0,958.0
5830.0,999.0
5831.0,999.0
5832.0,696.0
5833.0,264.0
5834.0,999.0
5835.0,188.0
5836.0,544.0
5837.0,363.0
5838.0,808.0
5839.0,999.0
5840.0,999.0
5841.0,539.0
5842.0,887.0
5843.0,688.0
5844.0,999.0
5845.0,338.0
5846.0,544.0
5847.0,510.0
5848.0,999.0
5849.0,498.0
5850.0,999.0
5851.0,999.0
5852.0,999.0
5853.0,562.0
5854.0,999.0
5855.0,999.0
5856.0,999.0
5857.0,330.0
5858.0,999.0
5859.0,658.0
5860.0,999.0
5861.0,211.0
5862.0,999.0
5863.0,999.0
5864.0,999.0
5865.0,999.0
5866.0,999.0
5867.0,999.0
5868.0,999.0
5869.0,999.0
5870.0,999.0
5871.0,999.0
5872.0,203.0
5873.0,310.0
5874.0,999.0
5875.0,800.0
5876.0,999.0
5877.0,999.0
5878.0,999.0
5879.0,999.0
5880.0,999.0
5881.0,589.0
5882.0,999.0
5883.0,999.0
5884.0,999.0
5885.0,431.0
5886.0,885.0
5887.0,830.0
5888.0,999.0
5889.0,553.0
5890.0,999.0
5891.0,164.0
5892.0,472.0
5893.0,918.0
5894.0,687.0
5895.0,403.0
5896.0,216.0
5897.0,459.0
5898.0,518.0
5899.0,436.0
5900.0,568.0
5901.0,631.0
5902.0,999.0
5903.0,999.0
5904.0,999.0
5905.0,619.0
5906.0,474.0
5907.0,999.0
5908.0,999.0
5909.0,510.0
5910.0,999.0
5911.0,611.0
5912.0,913.0
5913.0,755.0
5914.0,715.0
5915.0,999.0
5916.0,999.0
5917.0,999.0
5918.0,999.0
5919.0,250.0
5920.0,999.0
5921.0,999.0
5922.0,775.0
5923.0,999.0
5924.0,999.0
5925.0,999.0
5926.0,815.0
5927.0,999.0
5928.0,999.0
5929.0,999.0
5930.0,999.0
5931.0,355.0
5932.0,999.0
5933.0,999.0
5934.0,999.0
5935.0,946.0
5936.0,559.0
5937.0,957.0
5938.0,999.0
5939.0,999.0
5940.0,999.0
5941.0,999.0
5942.0,999.0
5943.0,999.0
5944.0,999.0
5945.0,999.0
5946.0,999.0
5947.0,999.0
5948.0,999.0
5949.0,999.0
5950.0,999.0
5951.0,999.0
5952.0,999.0
5953.0,891.0
5954.0,999.0
5955.0,855.0
5956.0,999.0
5957.0,999.0
5958.0,999.0
5959.0,999.0
5960.0,999.0
5961.0,999.0
5962.0,999.0
5963.0,999.0
5964.0,999.0
5965.0,999.0
5966.0,999.0
5967.0,999.0
5968.0,861.0
5969.0,999.0
5970.0,999.0
5971.0,999.0
5972.0,999.0
5973.0,999.0
5974.0,999.0
5975.0,999.0
5976.0,999.0
5977.0,999.0
5978.0,999.0
5979.0,454.0
5980.0,766.0
5981.0,999.0
5982.0,999.0
5983.0,999.0
5984.0,999.0
5985.0,999.0
5986.0,999.0
5987.0,999.0
5988.0,631.0
5989.0,999.0
5990.0,999.0
5991.0,999.0
5992.0,999.0
5993.0,999.0
5994.0,999.0
5995.0,999.0
5996.0,999.0
5997.0,999.0
5998.0,999.0
5999.0,999.0
6000.0,999.0
